Deneyim Yili,SuanCalisiyorMu,Eski Calistigi Firmalar,Egitim Seviyesi,Top10 Universite,StajiBizdeMiYapti,IseAlindi
11,Y,4,L,N,N,Y
0,N,0,D,Y,Y,Y
5,Y,2,YL,N,Y,Y
3,N,1,L,N,Y,Y
0,N,0,L,N,N,N
14,Y,7,L,N,N,Y
1,N,0,L,N,N,N
1,N,1,D,Y,N,N
4,Y,1,L,N,Y,Y
0,N,0,D,Y,N,Y
0,N,0,L,Y,Y,Y
2,N,0,L,Y,Y,Y
8,N,6,L,N,N,N
3,Y,1,L,Y,N,Y
19,N,2,D,Y,N,N
1,N,0,L,N,N,N
12,Y,3,L,Y,Y,Y
1,N,0,L,Y,Y,Y
5,Y,3,YL,N,N,N
20,N,7,L,N,N,Y
0,N,0,L,N,Y,Y
4,Y,3,L,Y,N,Y
7,Y,3,L,N,N,Y
4,Y,1,L,Y,Y,Y
9,N,3,D,Y,N,Y
16,Y,3,D,Y,N,Y
3,N,3,L,N,N,N
0,Y,0,YL,Y,Y,Y
8,Y,2,L,N,Y,Y
5,N,1,YL,Y,N,N
2,N,1,YL,Y,Y,N
1,N,0,L,Y,Y,Y
5,Y,3,YL,N,N,N
20,N,7,L,N,N,Y
0,N,0,L,N,Y,Y
4,Y,3,L,Y,N,Y
7,Y,3,L,N,N,Y
4,Y,1,L,Y,Y,Y
9,N,3,D,Y,N,Y
16,Y,3,D,Y,N,Y
3,N,3,L,N,N,N
0,Y,0,YL,Y,Y,Y
8,Y,2,L,N,Y,Y
5,N,1,YL,Y,N,N
2,N,1,YL,Y,Y,N
7,N,3,L,N,N,Y
1,Y,0,L,N,N,N
4,Y,2,L,Y,Y,Y
8,N,1,L,N,N,Y
3,Y,1,YL,N,N,Y
17,Y,3,D,Y,N,Y
15,N,2,YL,N,N,Y
6,N,1,L,N,Y,Y
5,N,1,YL,N,N,Y
9,Y,6,L,Y,Y,N